level,value
1,hello I am Ahmad.; hi you are my friend.; I am Ali.; you are Omar.; goodbye my friend.; he is my friend.; she is fine now.; he is from Kabul.; she is in the city.; he is in my class.; it is nice to meet you.; we are fine today.; they are from one city.; it is a good day.; we are happy here.; where are you from?; what is your name?; who is that boy?; what city are you in?; where is the country?; I have a book.; you have a pen.; he has a pencil.; she has a bag.; they have a chair.; 
2,this is the table.; that is the board.; is this the door?; yes it is; is that the window?; no it is not.; this is one chair.; these are two tables.; these are three windows.; these are four bags.; these are five pens.; I have a bed.; she has a room.; he has a kitchen.; they have a home.; we have a room.; these are my brothers.; those are my sisters.; those are my brothers.; this is my mother.; this is my father.; this is my red bag.; that is your blue pen.; this is his green chair.; that is her yellow book.; these are my blue pencils.; 
3,there are six cups.; these are seven apples.; there are eight books.; there are nine chairs.; there are ten bags.; I can run.; you can jump.; he can speak.; she can draw.; you can write.; this is my hand.; this is his leg.; this is her head.; this is my eye.; this is her hand.; this is my book.; this is your cup.; this is his apple.; this is her room.; these are my apples.; I like bread.; I like water.; I like rice.; I do not like apples.; I do not like bread.; 
4,I am happy now.; I am sad today.; I am tired now.; are you angry?; are you happy today?; it is morning now.; it is afternoon.; it is night now.; is it morning now?; is it night?; it is hot now.; it is cold now.; it is the sun.; it is not rain.; it is not cold.; sit here now.; stand up now.; come here now.; go to school.; this is a banana.; I have an egg.; is this a school or a park?; is it a shop or a mosque?; I see a school and a park.; go to the shop and the mosque.; there is a park and a mosque.; 
5,this is a plate.; a cup is on the table.; an apple is in the bowl.; a banana is on the plate.; a cup is under the table.; which is big?; which are small?; which is fast?; which are slow?; the big bowl is on the table.; what is this?; where is the dog?; who is with the bird?; what is in the bowl?; it is a cat.; open the door.; close the window.; look at the bird.; write on the paper.; look at the small cat.; can I have an apple?; can I have a banana?; can I sit here please?; yes thank you.; you are welcome.; 
6,it is morning now.; it is night now.; it is eleven.; it is twelve o'clock.; there are fifteen students.; this is Ahmad's shirt.; that is Laila's dress.; these are Basir's shoes.; those are Roya's pants.; this is my shirt.; I eat bread.; you drink water.; we walk to school.; they sleep at night.; I drink water now.; good morning.; how are you?; I'm fine thank you.; excuse me please.; good morning how are you?; I have a badge.; you have a star.; we win the game.; they learn English.; I learn every day.; 
7,Lesson 31-35 sentences here
8,Lesson 36-40 sentences here
9,Lesson 41-45 sentences here
10,Lesson 46-50 sentences here
11,Lesson 51-55 sentences here
12,Lesson 56-60 sentences here
13,Lesson 61-65 sentences here
14,Lesson 66-70 sentences here
15,Lesson 71-75 sentences here
16,Lesson 76-80 sentences here
17,Lesson 81-85 sentences here
18,Lesson 86-90 sentences here
19,Lesson 91-95 sentences here
20,Lesson 96-100 sentences here
21,Lesson 101-105 sentences here
22,Lesson 106-110 sentences here
23,Lesson 111-115 sentences here
24,Lesson 116-120 sentences here
